SMILES,He,H2,N2,O2,CO2,CH4,URL,
*Oc1cc2c(cc1O*)[C@@H]1c3cc4c(cc3C2c2cc3ccccc3cc21)Oc1c(C#N)c(*)c(*)c(C#N)c1O4,,9980,926,3290,13200,1440,https://pubs.acs.org/doi/pdf/10.1021/acsmacrolett.5b00439,
*Oc1cc2c(cc1O*)[C@@H]1c3cc4c(cc3C2c2cc3ccccc3cc21)Oc1c(C#N)c(*)c(*)c(C#N)c1O4,,8039,629,2718,9709,905,https://onlinelibrary.wiley.com/doi/10.1002/adma.201305783,
*CN1CN(*)Cc2cc3c(cc21)C1(C)CCC3(C)c2cc(*)c(*)cc21,,8114,580,2294,7696,774,https://onlinelibrary.wiley.com/doi/10.1002/adma.201305783,
*Oc1cc2c(cc1O*)[C@]1(C)c3cc4c(cc3C2(C)c2cc3ccccc3cc21)Oc1c(C#N)c(*)c(*)c(C#N)c1O4,4540,12100,1190,4330,21500,1690,https://doi.org/10.1039/C9EE01384A,
*Oc1cc2c(cc1O*)[C@]1(C)c3cc4c(cc3C2(C)c2cc3ccccc3cc21)Oc1c(C#N)c(*)c(*)c(C#N)c1O4,3110,8440,522,2570,13200,570,https://doi.org/10.1039/C9EE01384A,
*Oc1cc2c(cc1O*)[C@]1(C)c3cc4c(cc3C2(C)c2cc3ccccc3cc21)Oc1c(C#N)c(*)c(*)c(C#N)c1O4,3400,8930,401,2170,10700,411,https://doi.org/10.1039/C9EE01384A,
*Oc1cc2c(cc1O*)[C@]1(C)c3cc4c(cc3C2(C)c2cc3ccccc3cc21)Oc1c(C#N)c(*)c(*)c(C#N)c1O4,2810,7160,280,1580,8020,282,https://doi.org/10.1039/C9EE01384A,
*Oc1cc2c(cc1O*)[C@]1(C)c3cc4c(cc3C2(C)c2cc3ccccc3cc21)Oc1c(C#N)c(*)c(*)c(C#N)c1O4,2650,6380,195,1240,6060,203,https://doi.org/10.1039/C9EE01384A,
*Oc1cc2c(cc1O*)[C@]1(C)c3cc4c(cc3C2(C)c2cc3ccccc3cc21)Oc1c(C#N)c(*)c(*)c(C#N)c1O4,2180,5100,127,935,4350,130,https://doi.org/10.1039/C9EE01384A,
*Oc1cc2c(cc1O*)[C@]1(C)c3cc4c(cc3C2(C)c2cc3ccccc3cc21)Oc1c(C#N)c(*)c(*)c(C#N)c1O4,3960,9430,339,1800,9200,412,https://doi.org/10.1039/C9EE01384A,
